CHRIS’ TRADE LIST					
New Additions marked in RED					

Artist	Nat.	Title of release	Format	Year	minutes
3 Inches Of Blood	USA	Destroy The Orcs” 7”			
3 Inches OF Blood	USA	Advance & Vanquish” CD			
16 / Grief	USA	 Split 10”			
16	USA	Drop Out” CD			
16	USA	Blaze Of Incompetence” CD			
16	USA	Scott Case (Out Of Print Material)” CD			
324	JAP	Untitled” LP			
324	JAP	Across Black Wings” MCD			
324	JAP	 7”			
Abacinate	HOL	Out Of The System Demo 91			
Abattoir 	USA	Demo 84			
Abattoir 	USA	Vicious Attack LP			
Abattoir 	USA	No Safe Place LP			
Aberration  	UK	Reh 16.10.88			
Abhoth	SWE	The Tide” 7”			
Abhoth	SWE	Forever To Be Vanished Therein” Demo			
Abigail	JAP	Blasphemy Night” Reh/Demo			
Abruptum	SWE	Obscuritatum Advoco Amplectere” LP			
Abscess 	USA	Demo #1			
Abscess 	USA	Demo #2			
Abscess	USA	"Throbbing Black Werebeast" EP			
Abscess	USA	"Through The Cracks Of Death" CD			
Abscess	USA	Damned & Mummified” LP			
Abscess/Machetazo	USA	 Split 7”			
Absu	USA	Temples Of Offal” 7” 			
Absu	USA	Barathrum…” Adv LP			
Absurdus	FIN	Under The Never Setting Sun” Demo 93			
Accept 	GER	 LP			
Accept	GER	Breaker” LP			
Accept	GER	Best Of” LP			
Accept	GER	Restless & Wild” LP			
Accept	GER	Balls To The Wall” LP			
Accept	GER	Metal Heart” LP			
Accept	GER	Kaizoku-Ban” MLP			
Accept	GER	Russian Roulette” LP			
Accept	GER	Eat The Heat” LP			
Accept	GER	Live Donington 84			
The Accused	USA	Mechanised Death” Demo			
The Accused	USA	The Return Of Martha Splatterhead” LP			
The Accused	USA	Hymns To The Deranged LP			
The Accused	USA	Grinning Like An Undertaker LP			
The Accused	USA	Straight Razor LP			
The Accused	USA	"Oh Martha!" 2 LP			
Accuser	GER	"Who Dominates Who?" LP			
Acheron	USA	Deprived Of Afterlife” 7”			
Acheron	USA	Rites Of The Black Mass” LP			
Acheron	USA	Hail Victory” Adv MLP			
Ackecocke	UK	Rape Of The Bastard Nazarine” CD			
Acrimony	UK	A Sombre Thought” Demo 92			
Acrimony	UK	Solstice Sadness” 7”			
Acrimony	UK	 Unreleased Studio Track 93			
Achrosticon	HOL	Dehumanized” Demo			
Achrosticon	HOL	Engraved In Black” Adv LP			
Acid Reign	UK	Moshkinstein” Demo 87			
Acid Reign	UK	The Fear” LP			
Acid Reign	UK	Obnoxious” LP			
Act Of Gods	FRA	Stench Of Centuries” LP			
Act Of Gods	FRA	Dies Irae” 7”			
Acursed	SWE	Livet Ar Den Langsta Vagen Helvetet” LP			
Adramalech	FIN	Spring Of Recovery” 7”			
Adrenicide	UK	Demo 2004			
Adversity	CAN	You Can Run But You Can’t Hide” Demo87			
Afflicted	SWE	Wonderland” Demo #4			
Afflicted	SWE	Prodigal Sun” CD			
Aftermath	USA	Killing The Future” Demo 87			
Aftermath	USA	Words That Echo Fear” Demo 89			
Agathocles	BEL	Cabbalic Gnosticism” Demo			
Agathocles	BEL	Forced Pollution” 7”			
Agathocles/Unholy Grave	BEL	 Split LP			
Agathocles	BEL	Distrust & Abuse” 7”			
Agathocles	BEL	 Live Aalst 03.06.89			
Agathocles	BEL	Agarchy” 7”			
Agathocles/Drudge	B/UK	 Split LP			
Agent Steel	USA	"Skeptics Apocalypse" LP			
Agent Steel	USA	"The Unstoppable Force" LP			
Agent Steel	USA	 Live Hammersmith Odeon 20.06.87			
Agent Steel	USA	Mad Locust Rising” 12”			
Aggression	CAN	"Forgotten Skeleton" Unreleased LP '87			
Agressor	FRA	"Satan's Sodomy" Demo 87			
Agony	SWE	Execution Of Mankind” Demo 87			
Agony	SWE	Night Of The Emperor” Demo			
Agony	SWE	"The First Defiance" LP			
Agoraphobic Nosebleed	USA	Frozen Corpse Stuffed With Dope” CD			
Agoraphobic Nosebleed	USA	Altered States Of America” MCD			
Alazif	CAN	Rotten Citizen” Demo 87			
Alchemist	AUS	Jar Of Kingdom” LP			
Algol	NOR	Witchsleep” Demo 93			
Allegiance	AUS	Torn Between Two Worlds” Demo			
Altar/Cartilege	HOL	 Split LP			
Altar	HOL	Youth Against Christ” LP			
Altered Vision/Putrefy	?	 Split CD			
Amorphis	FIN	Vulgar Necrolatry” 7”			
Amorphis	FIN	 The Karelian Isthmus” LP			
Amorphis	FIN	Tales From 1000 Lakes” CD			
Amorphis Adv CD trax 93	FIN				
Amulence	USA	The Rage Within” Demo 87			
Anaal Nathrakh	UK	When Fire Rains Down From The Sky” MCD			
Anacrusis	USA	 Annihilation Complete” Demo 87			
Anacrusis	USA	Reason” LP			
Anacrusis	USA	Manic Impressions” LP			
Anacrusis	USA	Scream & Whispers” LP			
Anael	UK	Infernal Devotion 7"			
Anal Cunt	USA	Morbid Florist” MLP			
Anal Cunt	USA	Everyone Should Be Killed” CD			
Anal Cunt	USA	Top 40 Hits” CD			
Anal Cunt	USA	I Like It When You Die” CD			
Anarchus	MEX	 Promo Demo 91			
Anathema	UK	They Die” 7”			
Anathema	UK	Crestfallen” 7”			
Anathema	UK	Seranades” LP			
Anathema	UK	We Are The Bible” 7”			
Ancient	NOR	In The Eye Of The Serpent” Demo 93			
Ancient	NOR	Eerily Howling Winds” Demo 93			
Ancient	NOR	Det Glemte Riket” 7”			
Ancient Rites	BEL	Evil Prevails” 7”			
Ancient Rites	BEL	The Diabolic Serenades” CD			
Ancients Rebirth	SWE	Culte De Diabolus” Demo 93			
Angel Of Death 	AUS	Demo 87 (aka Hobbs Angel Of Death)			
Angel Of Death  (aka Hobbs Angel Of Death)	AUS	House Of Death LP			
Angelkill	USA	Garden Of Crosses” Demo 94			
Angelwitch 	UK	 LP			
Anialator	USA	S/T 12"			
Annihilator	CAN	Welcome To Your Death” Demo 85			
Annihilator	CAN	Phantasmagoria” Demo 86			
Annihilator 	CAN	Demo 87 (2 trax)			
Annihilator	CAN	Alice In Hell” LP			
Annihilator	CAN	Never Never Land” CD			
Annihilator	CAN	Set The World On Fire” 12”			
Annoyance	UK	Ultra Violence” Demo 93			
Anthrax 	USA	Demo 82			
Anthrax	USA	Fistful Of Metal” LP			
Anthrax	USA	Spreading The Disease” LP			
Anthrax	USA	Madhouse” 12”			
Anthrax	USA	I Am The Law” 12”			
Anthrax	USA	Among The Living” LP			
