Request #1
Deathslayer (NY,USA)                     Demo 84
Mayhem (GER)                             Chains of Death demo 1985
Mayhem (GER)                             Evil Pentagram demo 1986
Mayhem (OR, USA)                         Burned Alive
Mayhem (OR,USA)                          As the world burns Demo 1985
Mayhem (USA)                             Demo 1984
The Kill (USA)                           Demo 85
The Kill (USA)                           Demo 86
Thrust (IL,USA)                          Demo I 1983
Thrust (IL,USA)                          Demo II 1983
Vice (USA)                               Demo II 1984
Vice (USA)                               When it's Hot demo I 1984
------------------------------------------------------------------------------------------
Stuff I'm looking for not on list
Infernal demo  Nasty Ronnie's side project
Blind Legion aka Legion from Albany, NY -- demo has Much Too Fast,What I've Got,Darkness Falls and Livin' A Nightmare

Last Remains (NJ,USA)                    Demo 1991
Kublai Khan (MN,USA)                     Live-Minneapolis, MN 3-15-87
Karian (TX,USA)                          Demo 1984
Karian (TX,USA)                          Demo 84/85
Karian (TX,USA)                          Demo II 1986
Juggernaut (TX,USA)                      Baptism Under Fire + unreleased Slow Death EP
Juggernaut (TX,USA)                      Demo II 85
Juggernaut (TX,USA)                      Trouble Within
Skitzo (CA,USA)                          Mosh til Mush demo 87
Skitzo (CA,USA)                          Psychobabble
Skitzo (CA,USA)                          Wrathrage demo 1986
Sneak Attack (NJ,USA)                    Demo 85
Sneak Attack (NJ,USA)                    New Songs demo 90
Sneak Attack (NJ,USA)                    NI4NI demo 1988
Sorcerer (NL)                            Living on Blood demo II 1987
Tormentor (USA)                          Axe the Priest demo 86
Natas (IL,USA)                           Demo I 1985
Natas (IL,USA)                           Outcasts of Society demo 86
Natas (IL,USA)                           Think what you want demo 87
Millennium                               Millennium
Fallen Angel                             Faith Fails
Fallen Angel                             Fallen Angel EP
Fallen Angel (SWE)                       Hang Over demo 1989

Caligula (NY, USA)                       Technical Aggression Demo 1987
Caligula (NY,USA)                        Demo I 1986
Caligula (NY,USA)                        Live:  CBGB's, NYC, NY  (SB)  27-09-1987
Candy Striper Death Orgy (MA,USA)        Holocaustic demo 1988
Cerebral Hemorrhage (NJ,USA)             Demo I 1986
Cerebral Hemorrhage (NJ,USA)             Multiple Trauma demo 87
Creepin' Death (ITA)                     Advance LP 1988
Creepin' Death (ITA)                     No Privation demo 1987
Eldritch Rite (TX,USA)                   Demo 1986
Eldritch Rite (TX,USA)                   Demo 87
Headcrasher (ITA)                        Dead in the USA demo 1989
Original Sin                             Sin Will Find You Out
Outrage (CAN)                            Demo I 1985
Outrage (CAN)                            Demo II 1985
Outrage (CAN)                            Demo III 1986
Aftermath (AZ,USA)                       Building Up To Meltdown LP 1989 (unreleased)
Oblivion (FL,USA)                        Quest for Power demo 1986
Oblivion (NJ,USA)                        Contents under Pressure demo 1990
Oblivion (NJ,USA)                        Demo 1989
Oblivion (NJ,USA)                        Why did Johnny kill? Demo 1989

Syranax (TX, USA)                        Demo II 1987
Syranax (TX, USA)                        The Battalion of Death Demo 86
Syrus                                    ST
Syrus (TX,USA)                           Demo 86
Last Remains (NJ,USA)                    Grasp for Existence demo 92
